ColonyID,Individual,ReproductiveStage,Date,Size,Time,Duration(min),Treatment,Trip,FSequence,NectarValue,ChoiceNumber,NumChoices,NumRisky,PropRisky,DayColReceived,DaysOld,ColorSafe,ColorRisky,ColorSR
F,B42f,W,7-23-21,133,1335,18,E,2,"S,R,R,R,","1.25,0.5,0.5,0.5,","7,8,9,10,",4,3,0.75,4-23-21,91,P,B,PB
F,B43f,W,7-29-21,78,1057,20,E,1,"S,S,S,R,","1.25,1.25,1.25,2,","1,2,3,4,",4,1,0.25,4-23-21,97,O,P,OP
F,B43f,W,7-29-21,78,1125,20,E,2,"S,R,S,","1.25,0.5,1.25,","5,6,7,",3,1,0.333333333,4-23-21,97,O,P,OP
F,B61f,W,8-4-21,130,1359,18,E,1,"S,S,S,S,S,S,S,S,S,S,S,","1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25","1,2,3,4,5,6,7,8,9,10,11,",11,0,0,4-23-21,103,Y,P,YP
F,B61f,W,8-4-21,130,1521,14,E,2,"S,S,S,S,S,S,S,S,","1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,","12,13,14,15,16,17,18,19,",8,0,0,4-23-21,103,Y,P,YP
H,B13h,W,12-18-21,69,1428,27,E,1,"R,R,R,S,","2,2,0.5,1.25,","1,2,3,4,",4,3,0.75,11-2-21,46,B,P,BP
H,B13h,W,12-18-21,69,1512,,E,2,"S,S,","1.25,1.25,","5,6,",2,0,0,11-2-21,46,B,P,BP
H,B34h,W,12-8-21,52,1219,16,E,1,"R,R,R,R,","2,0.5,0.5,0.5,","1,2,3,4,",4,4,1,11-2-21,36,B,O,BO
H,B34h,W,12-8-21,52,1245,16,E,2,"R,R,R,R,R,S,","0.5,2,2,0.5,0.5,1.25,","5,6,7,8,9,10,",6,5,0.833333333,11-2-21,36,B,O,BO
H,B38h,W,12-2-21,39,1439,18,E,1,"S,S,S,S,S,S,S,S,S,","1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,","1,2,3,4,5,6,7,8,9,",9,0,0,11-2-21,30,B,O,BO
H,B38h,W,12-3,39,1209,na,E,2,"R,S,S,R,","2,1.25,1.25,0.5,","10,11,12,13,",4,2,0.5,11-2-21,31,B,O,BO
H,B93h,W,1-17-22,81,1332,12,E,1,"R,","2,","1,",1,1,1,11-2-21,76,P,O,PO
H,B93h,W,1-17-22,81,1356,15,E,2,"S,R,","1.25,0.5,","2,3,",2,1,0.5,11-2-21,76,P,O,PO
H,G83h,R,3-1-22,99,1305,10,E,1,"R,S,","2,1.25,","1,2,",2,1,0.5,11-2-21,119,P,Y,PY
H,G83h,R,3-1-22,99,1326,8,E,2,"S,R,S,","1.25,0.5,1.25,","3,4,5,",3,1,0.333333333,11-2-21,119,P,Y,PY
H,W99h,R,2-28-22,102,1511,13,E,1,"R,S,S,R,R,","0.5,1.25,1.25,0.5,2,","1,2,3,4,5,",5,3,0.6,11-2-21,118,O,Y,OY
H,W99h,R,3-1-22,102,1233,12,E,2,"R,R,S,S,R,","2,0.5,1.25,1.25,2,","6,7,8,9,10,",5,3,0.6,11-2-21,119,O,Y,OY
H,Y28h,W,1-24-22,102,1136,na,E,1,"S,R,R,R,S,S,R,S,S,S,","1.25,0.5,2,0.5,1.25,1.25,0.5,1.25,1.25,1.25,","1,2,3,4,5,6,7,8,9,10,",10,4,0.4,11-2-21,83,Y,O,YO
H,Y28h,W,1-24-22,102,1220,na,E,2,"R,S,S,S,S,R,","0.5,1.25,1.25,1.25,1.25,2,","11,12,13,14,15,16,",6,2,0.333333333,11-2-21,61,Y,O,YO
H,Y50h,W,1-30-22,132,1319,16,E,1,"S,S,R,S,R,S,S,S,","1.25,1.25,0.5,1.25,2,1.25,1.25,1.25,","1,2,3,4,5,6,7,8,",8,2,0.25,11-2-21,89,P,O,PO
H,Y50h,W,1-30-22,132,1444,11,E,2,"S,S,S,S,S,S,","1.25,1.25,1.25,1.25,1.25,1.25,","9,10,11,12,13,14,",6,1,0.166666667,11-2-21,89,P,O,PO
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
